id,brand,model,mileage,year,link,body_status,price
2600,جک,جی 5,140000,2014,https://bama.ir/car/detail-42ur88ai-jac-j5-at-1393,3,220000000
2601,رنو,تندر90 ,89000,2016,https://bama.ir/car/detail-phus82x2-renault-tondar90-e2-1395,1,220000000
2602,هیوندای,آزرا (گرنجور),8000,2019,https://bama.ir/car/detail-juwjjbz-hyundai-azera-4cylinder-2019,1,2220000000
2603,کیا,سراتو (مونتاژ),33000,2018,https://bama.ir/car/detail-nxeumv5-kia-cerato-ir-2000-optional-1397,1,625000000
2604,ام وی ام,X22,53000,2017,https://bama.ir/car/detail-2csfc2j-mvm-x22-mt-sport-excellent-1396,1,300000000
2605,هایما,S5,27000,2019,https://bama.ir/car/detail-w45ngj8z-haima-s5-1398,1,560000000
2606,چری,آریزو 5TE  ,21000,2019,https://bama.ir/car/detail-m6m22p9-chery-arrizo5te-at-excellent-1398,1,470000000
2607,پژو,206 ,108000,2016,https://bama.ir/car/detail-gfmz7pae-peugeot-206-ir-type2-1395,2,156500000
2608,برلیانس,H330,100000,2016,https://bama.ir/car/detail-hrj1t9zf-brilliance-h330-at-1395,2,265000000
2609,رنو,تندر90 ,65000,2017,https://bama.ir/car/detail-7vsyxhgj-renault-tondar90-e2-1396,1,238000000
2610,پژو,207,0,2020,https://bama.ir/car/detail-e4dqcmra-peugeot-207-automatic-panorama-1399,1,398000000
2611,پژو,206 SD,170000,2010,https://bama.ir/car/detail-1oki384t-peugeot-206sd-v9-1389,5,155000000
2612,کوییک,دنده ای R,0,2020,https://bama.ir/car/detail-fkzgkwj9-quick-manual-r-1399,1,152000000
2613,تیبا,هاچ بک,0,2021,https://bama.ir/car/detail-f7yjn3cy-tiba-hatchback-ex-1400,1,137500000
2614,پژو,206 ,156000,2009,https://bama.ir/car/detail-z97unpb-peugeot-206-ir-type2-1388,3,108000000
2615,هیوندای,i40,135000,2015,https://bama.ir/car/detail-1t4ox7ss-hyundai-i40-2015,1,860000000
2616,تیبا,هاچ بک,0,2020,https://bama.ir/car/detail-hkn19mqu-tiba-hatchback-ex-1399,1,132000000
2617,فولکس,تیگوان,53200,2018,https://bama.ir/car/detail-d1as7rwn-volkswagen-tiguan-2018,1,2185000000
2618,فولکس,بیتل کروک,12500,2013,https://bama.ir/car/detail-yheeokcx-volkswagen-beetle-convertible-2013,1,2250000000
2619,برلیانس,H330,83000,2018,https://bama.ir/car/detail-8u385nf-brilliance-h330-at-1.65-1397,2,328000000
2620,دنا,پلاس,0,2021,https://bama.ir/car/detail-6md1fgwq-dena-plus-basic-manual-1400,1,320000000
2621,رنو,تندر90 ,90000,2014,https://bama.ir/car/detail-cecf44ky-renault-tondar90-at-1393,9,235000000
2622,پراید,151,0,2020,https://bama.ir/car/detail-wy7p86g1-pride-151-se-1399,1,117000000
